# 30/12/2025 10:10:02 AM: Prices - EPEX Spot Market Auction - switzerland - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Baseload,Peakload,Off-peak,Off-peak 2,Off-peak 1,Night,Late morning,Early afternoon,Evening,Early morning,Business,Afternoon,Middle night,Morning,High noon,Rush hour,Sun peak
31/12/2025,102.56,98.66,95.59,,95.73,95.39,97.33,103.04,110.06,112.00,110.14,102.40,98.10,94.10,94.36,98.10,107.18,110.41,112.37,113.97,112.05,113.68,112.20,111.59,107.70,94.10,113.97,104.53,105.43,103.63,111.29,99.80,97.54,105.66,98.44,111.87,101.46,102.05,107.02,98.14,108.81,97.24,112.20,99.04
30/12/2025,105.08,104.23,101.30,,99.24,98.97,103.52,106.00,112.66,115.60,114.99,110.05,107.09,106.49,104.95,106.80,113.25,117.32,118.00,115.30,114.07,113.74,112.12,111.02,105.87,98.97,118.00,109.07,111.99,106.15,110.69,103.88,102.06,111.93,107.87,112.02,105.29,109.90,113.84,102.46,112.31,107.15,116.17,108.11
29/12/2025,106.65,98.10,98.10,,97.74,96.85,98.10,106.00,114.90,117.57,114.00,110.71,110.07,106.23,105.60,108.50,116.36,117.33,118.03,117.29,115.12,111.35,114.27,112.68,108.00,96.85,118.03,109.15,113.07,105.23,111.58,102.06,99.26,113.09,109.17,113.12,103.96,111.13,115.06,100.15,113.12,108.15,116.94,109.58
28/12/2025,105.31,98.90,98.10,,98.60,98.10,98.16,98.10,98.24,98.55,98.49,92.17,86.42,83.01,86.51,91.43,101.17,112.44,116.32,115.95,115.80,113.64,113.19,111.59,107.51,83.01,116.32,101.57,99.86,103.29,111.48,99.19,99.53,93.91,90.53,112.95,98.15,92.22,105.34,100.23,98.35,87.03,115.13,90.12
27/12/2025,104.94,98.47,97.13,,95.73,95.50,97.54,99.00,105.30,107.00,105.05,99.11,97.26,95.33,96.81,98.10,111.06,117.09,117.81,117.46,116.07,115.77,110.71,107.41,101.69,95.33,117.81,104.47,106.51,102.43,108.90,99.20,98.22,102.11,100.33,111.52,99.34,101.22,111.02,99.07,104.09,97.13,117.11,99.61
26/12/2025,98.97,96.15,96.31,,94.72,94.70,94.49,98.39,99.00,101.80,100.03,96.51,95.56,94.55,85.98,96.34,98.77,110.07,114.33,116.50,112.00,110.08,108.50,107.50,102.00,85.98,116.50,100.97,101.87,100.07,107.02,96.59,95.89,98.48,93.91,109.43,96.65,96.19,104.88,96.54,99.81,93.15,113.23,94.62
25/12/2025,99.45,95.73,95.63,,94.81,94.41,94.48,97.17,97.65,98.10,99.81,100.30,100.41,97.22,95.55,97.02,106.60,114.54,114.70,106.61,106.60,108.58,108.50,104.40,97.32,94.41,114.70,101.07,103.12,99.01,104.70,96.17,95.75,99.66,99.10,105.34,95.93,99.38,108.22,96.41,98.18,98.37,110.61,99.52
24/12/2025,102.22,96.06,95.26,,94.00,93.14,94.08,98.22,108.46,110.49,112.20,111.73,110.51,109.10,108.50,109.81,110.28,111.48,106.96,105.86,107.21,107.21,107.20,103.08,103.01,93.14,112.20,104.84,109.51,100.16,105.13,97.68,95.79,111.23,109.42,105.60,98.48,110.33,109.63,96.89,107.34,109.96,107.88,109.99
23/12/2025,102.00,99.00,96.85,,97.37,97.10,100.20,109.79,121.10,121.11,121.11,121.66,120.10,119.55,120.00,121.55,122.52,122.74,122.32,122.61,121.10,121.10,117.31,111.68,103.91,96.85,122.74,113.91,121.36,106.45,113.50,102.93,98.75,121.00,120.91,116.29,107.05,120.95,122.28,98.81,118.28,120.33,122.19,120.90
22/12/2025,96.99,94.44,93.87,,93.33,94.10,96.54,108.40,120.09,123.80,122.62,120.00,118.00,115.91,117.00,120.72,124.04,125.00,125.01,124.62,123.71,120.42,116.33,112.60,105.99,93.33,125.01,113.06,121.70,104.43,113.84,99.72,94.88,121.11,119.42,117.28,104.78,120.26,123.69,94.66,118.73,117.73,124.59,119.28
