# 30/12/2023 10:07:00 AM: Prices - EPEX Spot Market Auction - switzerland - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
15/12/2023,87.73,81.48,79.96,,77.76,76.74,80.51,97.55,106.46,108.15,107.58,106.08,105.00,99.88,99.01,99.12,100.15,101.96,105.43,106.16,103.17,100.00,98.20,97.22,84.31,76.74,108.15,81.73,90.32,106.70,99.54,104.18,94.93,96.23,103.47,80.70,86.02,103.12,88.99,104.94,102.49,101.67,98.18,101.54
14/12/2023,82.73,81.45,81.38,,80.29,81.80,85.04,100.99,113.01,121.21,120.00,117.07,117.90,115.12,117.08,118.59,120.58,123.02,125.85,122.07,113.79,103.25,99.66,97.22,90.02,80.29,125.85,81.46,95.21,119.05,117.84,121.18,97.54,105.38,119.36,82.12,88.34,118.44,91.40,113.80,116.79,122.01,104.34,117.72
13/12/2023,90.98,89.01,87.90,,87.54,86.40,91.01,100.32,106.08,109.38,109.38,109.06,109.49,107.64,108.38,107.81,108.35,109.07,110.26,109.87,104.87,100.64,95.26,92.96,90.77,86.40,110.26,88.86,95.95,109.33,108.05,108.52,94.91,100.93,108.63,88.81,92.41,108.69,93.24,106.29,108.64,108.87,99.06,108.46
12/12/2023,93.39,89.46,87.99,,85.05,85.44,91.59,103.72,119.26,129.06,125.33,121.41,121.16,119.49,118.47,119.23,119.29,118.21,117.88,114.23,108.44,104.51,97.62,99.92,96.00,85.05,129.06,88.97,100.00,124.24,119.12,114.69,99.51,107.76,119.35,88.82,94.49,121.68,96.16,119.34,120.13,118.65,103.45,119.84
11/12/2023,84.62,59.22,41.63,,42.71,70.51,93.51,97.77,110.28,115.04,114.84,114.92,113.77,111.36,111.36,111.97,115.04,114.98,121.27,122.97,119.69,115.73,108.82,105.07,97.22,41.63,122.97,57.05,93.02,114.64,112.43,119.73,106.71,100.60,115.60,65.37,75.03,113.54,85.59,109.48,112.85,115.82,111.58,113.07
10/12/2023,89.41,75.03,36.81,,26.67,23.12,28.75,39.82,84.03,92.10,95.01,95.00,89.41,80.54,72.99,85.08,96.22,99.69,101.89,103.87,103.00,102.87,100.38,100.99,97.08,23.12,103.87,56.98,43.93,92.88,83.71,102.11,100.33,79.99,92.90,46.63,50.46,88.29,67.08,77.74,84.49,95.72,101.37,86.54
09/12/2023,87.37,86.51,86.15,,85.03,83.06,83.15,85.10,89.56,97.03,98.35,98.64,99.12,100.76,98.93,98.88,96.23,98.09,99.36,94.97,95.21,93.90,94.06,93.76,87.07,83.06,100.76,86.27,85.22,98.29,98.70,96.91,92.20,92.93,97.96,85.21,85.74,98.49,87.89,92.51,99.36,98.14,93.16,98.76
08/12/2023,102.76,101.22,98.53,,99.41,97.99,101.78,109.50,114.00,116.88,117.36,117.42,116.89,113.22,112.97,112.99,112.97,114.57,119.85,119.83,115.69,111.68,108.72,107.75,106.43,97.99,119.85,100.48,105.82,117.14,113.04,117.49,108.65,110.43,115.89,100.28,103.15,115.09,104.98,114.44,115.13,115.10,111.68,114.41
07/12/2023,101.06,98.24,97.78,,97.25,96.44,105.65,115.81,131.76,153.31,143.83,134.22,132.28,127.44,123.96,129.06,130.61,130.61,129.44,123.67,119.90,112.03,113.86,111.98,106.29,96.44,153.31,98.58,112.42,140.91,127.77,125.91,111.04,119.44,131.53,99.40,105.50,134.34,107.35,136.18,129.48,129.93,114.62,129.60
06/12/2023,104.45,100.41,97.30,,97.05,96.35,101.31,119.78,138.31,167.05,167.54,157.89,149.39,141.85,141.19,140.85,149.51,162.90,188.63,181.14,159.30,135.16,120.86,114.97,105.86,96.35,188.63,99.80,113.94,160.47,143.35,172.99,119.21,134.96,158.94,99.48,106.87,151.91,110.98,148.17,147.58,160.47,136.22,146.78
05/12/2023,113.89,112.96,113.63,,113.49,112.12,114.49,121.54,127.67,130.30,133.86,134.08,133.83,129.44,128.05,129.28,130.88,133.91,143.16,145.09,138.48,129.21,121.92,118.83,114.43,112.12,145.09,113.49,118.96,133.02,129.41,140.16,121.10,126.02,134.20,113.43,116.22,131.22,117.85,128.34,131.35,134.31,127.99,130.93
04/12/2023,108.90,107.26,107.50,,107.12,107.26,109.40,121.94,128.80,131.96,131.93,132.78,132.50,130.29,130.76,131.94,129.28,127.27,134.07,129.48,125.07,121.79,120.07,117.40,117.32,107.12,134.07,107.70,116.85,132.29,130.57,128.97,119.15,122.59,130.61,107.91,112.27,131.43,114.56,128.66,131.58,130.64,121.86,131.26
03/12/2023,110.72,108.65,105.74,,104.77,96.74,105.70,107.76,109.00,114.84,116.23,115.61,109.85,108.94,107.78,108.98,118.08,123.62,127.47,129.37,125.99,122.15,119.55,119.57,118.08,96.74,129.37,107.47,104.80,114.13,110.95,126.61,119.84,113.97,117.23,105.39,106.14,112.54,110.70,111.96,110.55,119.54,122.45,111.54
02/12/2023,110.92,107.69,104.53,,102.50,101.93,107.29,111.02,116.44,127.98,133.99,134.10,132.30,125.11,120.50,119.94,125.57,132.56,147.36,149.98,136.27,128.25,118.00,111.76,108.68,101.93,149.98,106.41,109.17,132.09,122.78,141.54,116.67,121.44,132.14,105.81,107.79,127.44,110.75,122.36,128.00,131.36,125.49,126.25
01/12/2023,105.96,102.09,99.43,,97.78,98.58,105.38,120.78,154.15,202.90,215.00,208.94,205.98,191.55,184.48,185.47,185.01,209.93,244.66,225.62,184.62,141.90,127.97,121.14,114.66,97.78,244.66,101.32,119.72,208.21,186.63,216.21,126.42,159.75,203.68,101.54,110.52,197.42,115.82,173.21,197.74,206.27,152.65,193.57
30/11/2023,116.13,110.42,109.21,,107.20,106.97,117.04,132.56,181.69,226.12,202.25,190.58,186.98,180.07,178.25,183.51,195.85,226.35,268.80,254.08,215.02,161.78,137.90,128.86,118.08,106.97,268.80,110.74,134.57,201.48,184.42,241.06,136.66,168.15,208.99,111.16,122.65,192.95,127.32,185.66,183.97,218.63,169.29,185.87
29/11/2023,121.29,118.08,118.11,,120.92,121.24,122.71,128.92,138.54,149.75,148.56,140.49,137.52,137.07,134.93,142.50,150.69,179.09,207.27,217.20,177.90,148.46,132.42,127.95,122.27,118.08,217.20,119.60,127.85,144.08,141.30,195.37,132.78,143.50,160.25,120.39,123.73,142.69,126.74,141.44,137.50,169.89,154.37,140.53
28/11/2023,118.90,113.64,108.24,,107.07,109.56,111.36,128.07,130.70,137.06,137.07,137.43,136.64,135.34,135.16,137.10,140.68,147.98,164.30,165.82,149.94,139.47,130.73,128.57,124.04,107.07,165.82,111.96,119.92,137.05,137.07,157.01,130.70,132.29,143.71,111.46,115.94,137.06,120.86,133.23,136.14,147.52,139.76,137.06
27/11/2023,115.21,115.08,111.94,,115.94,113.96,116.08,125.69,138.44,145.99,141.06,138.35,136.70,133.65,129.52,130.63,130.99,130.69,132.67,131.60,128.47,126.77,126.86,126.70,124.02,111.94,145.99,114.54,123.54,140.53,131.20,130.86,126.09,127.79,134.19,114.70,119.04,135.86,121.39,137.80,134.56,131.25,127.40,133.31
26/11/2023,114.32,106.67,103.94,,103.01,104.09,107.26,108.88,112.00,112.36,111.83,109.55,108.79,107.80,106.70,110.28,119.64,129.68,141.32,144.99,141.26,136.71,125.65,119.73,117.16,103.01,144.99,106.99,108.06,110.63,111.11,139.31,124.81,116.82,120.35,106.55,107.52,110.87,113.29,111.27,108.21,125.23,130.92,110.46
25/11/2023,120.74,119.09,118.05,,118.73,118.06,118.27,117.18,118.00,122.25,124.04,120.43,116.40,113.10,112.03,114.52,118.36,119.98,130.09,130.29,127.72,123.68,122.28,118.99,115.45,112.03,130.29,119.15,117.88,120.78,114.50,127.02,120.10,119.91,120.77,118.82,118.52,117.64,119.04,120.37,115.49,120.74,123.07,115.81
24/11/2023,125.44,123.77,122.53,,119.27,119.15,124.03,127.60,132.91,131.05,132.47,132.99,132.59,131.02,130.37,132.96,132.93,132.93,127.04,126.78,124.06,124.05,122.21,122.14,116.16,116.16,132.99,122.75,125.92,132.28,131.82,127.70,121.14,126.94,130.60,122.37,124.34,132.05,123.27,131.01,131.74,131.47,122.57,132.14
23/11/2023,110.68,105.34,102.62,,101.34,101.72,108.85,124.27,126.30,124.08,124.86,124.00,123.76,117.17,120.09,124.07,126.32,126.92,126.90,124.96,124.99,124.94,124.07,122.99,115.63,101.34,126.92,105.00,115.29,124.18,121.91,125.94,121.91,119.04,124.01,105.09,110.14,123.04,114.06,124.88,121.26,126.05,122.93,122.57
22/11/2023,110.24,101.96,99.82,,99.45,99.69,103.93,127.96,140.84,143.65,133.68,128.87,126.72,125.01,125.86,125.81,127.43,128.52,132.79,134.15,130.87,127.44,127.50,126.85,119.37,99.45,143.65,102.87,118.11,133.23,126.03,131.58,125.29,122.85,130.28,102.52,110.49,129.63,115.42,136.53,126.62,128.64,127.70,126.62
21/11/2023,103.51,101.55,100.06,,98.09,99.34,103.91,123.75,136.58,140.17,137.12,132.89,131.08,130.00,130.81,132.34,134.05,138.79,148.14,142.87,135.63,127.33,123.10,121.06,113.21,98.09,148.14,100.80,115.90,135.32,131.80,141.36,121.18,124.39,136.16,101.08,108.35,133.56,112.62,134.41,131.20,138.33,127.20,131.86
20/11/2023,69.88,60.24,54.58,,49.28,60.01,88.88,101.86,118.07,121.43,119.58,116.50,116.33,113.48,113.51,116.94,119.29,128.26,138.15,140.87,130.66,121.73,114.42,106.90,100.16,49.28,140.87,58.50,92.21,118.46,115.81,134.49,110.80,105.04,122.92,63.81,75.35,117.13,87.17,115.24,114.96,125.66,119.12,116.01
19/11/2023,93.94,72.04,59.13,,50.00,12.91,45.21,71.16,72.01,88.02,72.08,30.17,17.29,29.75,28.16,60.51,92.18,95.79,119.00,115.73,111.43,116.10,101.31,95.76,92.11,12.91,119.00,68.78,50.32,51.89,52.65,110.49,101.32,72.57,71.68,55.54,59.55,52.27,73.47,75.82,26.34,91.87,105.41,43.01
18/11/2023,109.37,100.16,96.92,,91.07,90.02,91.09,95.29,102.34,104.38,100.05,95.58,92.18,89.94,90.01,92.11,95.58,98.66,107.49,104.12,98.12,100.51,105.10,114.04,98.07,89.94,114.04,99.38,94.69,98.05,91.91,102.10,104.43,98.43,97.35,96.44,97.03,94.98,99.50,100.52,91.93,98.46,103.33,92.57
17/11/2023,103.56,97.47,94.18,,91.96,92.28,102.27,118.19,133.89,140.08,136.36,128.41,122.90,119.26,119.47,121.58,127.26,134.01,145.01,149.21,139.97,133.04,124.02,120.16,110.73,91.96,149.21,96.79,111.66,131.94,121.89,142.05,121.99,121.05,131.96,96.95,104.23,126.92,110.15,132.13,122.51,131.97,129.52,123.15
16/11/2023,117.12,101.30,96.48,,95.20,99.21,118.19,120.59,125.87,130.12,126.46,124.19,125.06,124.81,125.96,128.03,138.29,142.10,159.28,143.86,129.55,123.00,119.23,116.54,100.92,95.20,159.28,102.53,115.97,126.46,129.27,143.70,114.92,122.14,133.14,104.58,109.25,127.87,111.14,125.76,125.01,141.93,122.18,127.72
15/11/2023,90.03,87.85,78.36,,69.16,76.47,91.01,109.01,122.07,126.86,118.76,114.77,115.23,112.06,114.12,114.68,115.44,119.06,128.80,137.02,129.43,118.97,112.10,111.96,102.19,69.16,137.02,81.35,99.64,118.91,114.08,128.58,111.31,108.98,120.52,82.15,90.50,116.49,97.43,119.18,114.05,119.50,118.61,114.38
14/11/2023,95.10,91.64,90.02,,88.28,88.28,92.59,109.81,108.11,110.05,112.08,117.61,118.91,117.62,118.24,117.64,117.62,116.09,117.49,119.35,115.87,110.01,110.03,112.73,104.59,88.28,119.35,91.26,99.70,114.66,117.78,117.20,109.34,108.32,116.55,90.99,95.48,116.22,100.10,110.01,118.10,117.21,112.10,117.94
13/11/2023,92.97,89.63,88.63,,87.48,88.63,95.16,118.38,138.77,139.72,124.71,120.37,120.02,116.33,116.34,116.35,119.98,119.95,121.62,119.00,115.74,112.18,116.92,114.76,99.88,87.48,139.72,89.68,110.24,126.21,117.25,119.08,110.94,112.23,120.84,90.42,99.96,121.73,103.62,130.40,118.27,119.48,113.08,118.23
12/11/2023,91.57,88.66,83.13,,81.24,78.78,83.17,88.64,90.86,93.85,96.17,94.22,94.00,92.35,92.37,93.83,110.35,120.10,129.02,130.74,124.39,117.01,110.08,99.75,93.23,78.78,130.74,86.15,85.36,94.56,97.23,126.06,105.02,99.06,105.95,84.43,85.76,95.89,92.18,92.38,93.24,113.33,112.53,96.19
11/11/2023,93.34,90.34,88.98,,88.00,86.53,89.35,94.77,96.05,103.16,98.90,93.35,92.46,90.35,90.38,93.54,100.06,112.78,124.79,133.08,125.50,115.23,113.57,107.46,96.45,86.53,133.08,90.17,91.68,96.97,93.58,124.04,108.18,100.77,104.86,89.42,90.92,95.28,96.67,98.22,91.64,107.79,115.22,93.36
10/11/2023,100.65,96.65,94.92,,93.01,93.19,97.07,102.76,119.17,122.91,115.18,116.36,116.96,109.87,109.87,108.01,118.20,129.05,135.89,136.13,127.40,118.25,107.62,107.06,98.15,93.01,136.13,96.31,103.05,117.85,111.49,132.12,107.77,111.43,120.49,95.92,99.68,114.67,102.38,115.01,113.27,122.79,115.77,113.21
09/11/2023,91.20,91.67,91.59,,91.42,91.00,91.57,108.00,118.81,125.05,117.30,114.60,115.02,117.37,118.36,117.58,119.09,123.81,130.14,132.58,123.46,113.50,104.19,102.74,93.35,91.00,132.58,91.47,102.35,117.99,118.10,127.50,103.45,110.14,121.20,91.41,96.91,118.05,99.09,117.29,116.34,122.66,111.64,117.00
08/11/2023,90.12,89.00,85.46,,84.64,82.85,90.33,97.52,115.93,119.72,106.97,96.01,92.95,103.83,105.24,104.36,106.92,112.54,124.18,129.12,122.49,108.37,93.16,91.89,89.15,82.85,129.12,87.31,96.66,103.91,105.09,122.08,95.64,101.78,110.36,87.07,91.98,104.50,93.20,110.04,99.51,112.00,105.70,101.55
07/11/2023,85.03,78.04,77.05,,77.04,70.05,83.07,109.28,123.68,127.09,112.77,99.24,96.75,93.84,99.91,104.91,107.66,122.81,142.42,154.31,139.16,119.07,106.82,100.70,90.68,70.05,154.31,79.29,96.52,108.96,101.58,139.68,104.32,105.06,116.74,78.38,87.91,105.27,93.38,118.21,97.44,119.45,118.46,100.39
06/11/2023,11.10,5.50,5.20,,5.16,7.22,25.50,70.09,86.37,95.68,89.34,96.14,91.39,82.72,84.75,92.24,101.75,108.54,119.41,122.23,116.89,105.60,92.86,85.01,77.41,5.16,122.23,6.74,47.30,93.14,90.37,116.77,90.22,74.09,100.09,9.95,27.02,91.75,48.09,85.37,88.75,105.49,100.00,91.50
05/11/2023,3.11,-0.07,0.58,,0.31,-0.72,1.89,1.43,7.05,12.59,18.56,19.47,22.32,22.62,19.60,23.92,33.28,47.87,59.63,67.88,58.17,45.97,27.69,18.63,0.93,-0.72,67.88,0.98,2.41,18.24,24.86,58.39,23.31,21.36,33.83,0.85,1.70,21.55,8.90,9.91,21.00,41.18,36.55,23.54
04/11/2023,40.09,27.54,19.41,,11.91,11.63,14.91,26.70,30.36,32.52,20.07,13.42,14.34,14.87,18.19,28.05,39.73,45.64,60.16,58.91,47.80,31.91,22.05,13.96,2.52,2.52,60.16,24.74,20.90,20.09,25.21,53.13,17.61,26.95,32.81,20.92,22.82,22.65,21.08,27.41,15.21,43.40,29.53,21.43
03/11/2023,35.02,25.18,17.48,,15.22,16.89,37.14,70.33,94.51,108.55,103.36,87.40,82.79,78.92,73.17,77.52,82.29,89.45,109.76,113.01,110.61,85.79,65.19,58.85,47.75,15.22,113.01,23.23,54.72,95.53,77.98,105.71,64.40,70.26,93.07,24.49,38.97,86.75,47.45,94.19,80.57,89.76,80.20,80.35
02/11/2023,14.79,8.61,3.83,,1.41,6.80,44.71,65.03,64.04,72.37,66.89,61.65,60.03,57.46,60.26,61.19,75.96,76.87,91.65,101.40,94.83,82.39,67.46,58.13,45.06,1.41,101.40,7.16,45.15,65.24,63.72,91.19,63.26,55.95,73.38,13.36,26.15,64.48,38.52,67.08,59.85,76.42,74.88,62.76
01/11/2023,68.80,64.74,61.02,,58.90,59.22,66.67,74.55,85.92,84.39,64.72,59.68,65.53,59.40,66.20,65.94,70.93,74.42,82.41,83.08,76.05,67.95,61.99,61.94,55.63,55.63,85.92,63.37,71.59,68.58,65.62,78.99,61.88,68.34,71.06,63.23,67.48,67.10,65.61,77.40,62.70,73.43,67.77,64.61
31/10/2023,86.53,82.48,74.42,,67.21,65.44,74.80,90.77,113.23,116.05,108.20,104.17,101.95,99.83,102.06,105.30,115.84,123.55,142.66,150.06,141.18,121.04,112.31,104.07,91.41,65.44,150.06,77.66,86.06,107.59,105.76,139.36,107.21,103.94,117.57,75.15,81.86,106.68,90.31,107.06,102.00,121.84,120.01,104.86
30/10/2023,23.61,24.14,22.42,,21.34,30.29,62.02,88.39,114.44,117.80,112.54,107.13,106.47,103.26,110.47,114.48,125.23,143.42,155.40,160.97,155.03,130.64,113.63,108.32,95.52,21.34,160.97,22.88,73.79,110.99,113.36,153.71,112.03,97.79,126.02,30.64,48.33,112.17,69.56,108.29,106.83,134.63,127.35,111.17
29/10/2023,30.57,16.94,9.57,9.59,9.58,9.54,9.93,30.55,40.39,27.32,25.49,19.60,22.15,15.81,12.86,30.55,49.01,53.82,78.56,83.42,79.21,72.33,59.88,59.87,53.31,9.54,83.42,15.25,22.60,23.64,27.06,73.75,61.35,36.39,41.48,13.67,18.52,25.35,31.70,30.94,17.61,52.99,68.00,25.00
28/10/2023,82.10,71.69,66.14,,62.09,64.12,67.39,76.73,83.86,91.29,92.41,86.11,78.07,64.79,59.49,61.58,73.51,90.70,108.20,112.07,109.45,90.96,75.92,74.36,56.32,56.32,112.07,70.51,73.03,86.97,64.84,105.11,74.39,79.14,85.64,68.92,71.77,75.91,72.64,86.07,72.12,83.50,86.51,70.59
27/10/2023,103.80,100.65,98.90,,97.96,97.88,100.68,123.63,143.82,148.98,143.57,137.40,129.56,118.24,108.33,105.06,106.96,116.44,127.84,136.97,139.00,123.93,109.32,103.55,97.52,97.52,148.98,100.33,116.50,139.88,109.65,130.06,108.58,117.50,126.53,99.98,108.42,124.76,108.47,140.00,123.38,114.08,118.38,117.59
26/10/2023,98.86,96.21,94.56,,91.61,91.44,99.20,118.29,136.06,143.70,139.80,135.07,130.25,126.12,123.10,123.57,130.65,133.87,143.90,152.49,153.90,132.37,120.46,116.32,107.86,91.44,153.90,95.31,111.25,137.21,125.86,146.04,119.25,122.49,136.37,95.31,103.28,131.53,108.60,134.46,128.64,133.00,130.57,128.13
25/10/2023,109.40,99.89,96.25,,93.89,96.10,102.11,125.89,147.39,152.53,144.55,134.10,128.65,115.84,116.30,119.68,132.17,138.09,149.07,157.78,161.18,142.38,129.56,119.20,108.04,93.89,161.18,99.86,117.87,139.96,121.00,151.53,124.80,125.84,137.50,99.61,108.87,130.48,114.18,142.59,123.72,134.75,136.36,124.46
24/10/2023,97.92,95.24,91.23,,88.44,88.14,98.81,127.22,136.00,145.16,138.39,127.02,123.02,116.47,116.10,114.29,126.80,130.71,139.67,146.16,150.74,133.11,120.70,108.53,97.69,88.14,150.74,93.21,112.54,133.40,118.42,141.82,115.01,119.07,131.21,93.30,102.88,125.91,106.92,136.69,120.65,127.87,126.16,120.62
23/10/2023,103.69,98.86,96.08,,98.36,99.89,109.87,139.10,175.25,189.24,143.25,131.56,121.67,113.07,112.28,115.76,126.85,136.59,148.30,162.90,173.81,138.50,125.06,111.14,99.48,96.08,189.24,99.25,131.03,146.43,116.99,155.40,118.55,127.94,139.61,101.13,115.14,131.71,116.27,161.71,119.65,131.88,135.15,120.20
22/10/2023,55.43,41.29,38.71,,26.02,22.99,21.76,26.14,40.68,62.91,63.62,50.43,36.69,26.81,15.74,18.96,49.09,85.77,104.16,128.07,138.68,131.68,115.67,105.94,99.24,15.74,138.68,40.36,27.89,53.41,27.65,114.17,113.13,62.77,65.08,34.37,34.13,40.53,60.46,48.34,32.42,64.50,119.88,32.95
21/10/2023,88.61,68.15,50.82,,32.96,33.23,47.69,68.48,83.23,82.01,74.07,69.13,44.69,26.99,14.27,28.10,50.92,78.81,100.07,110.26,108.60,100.61,74.90,74.97,51.46,14.27,110.26,60.14,58.16,67.48,30.07,99.44,75.49,65.13,65.66,53.58,59.15,48.77,64.59,76.95,38.77,64.48,86.80,39.02
20/10/2023,88.84,92.93,76.42,,78.95,78.42,97.17,120.45,130.70,131.07,115.48,112.12,113.08,103.05,99.58,99.42,98.77,103.01,111.56,120.78,120.39,103.59,97.03,96.69,65.87,65.87,131.07,84.29,106.69,117.94,100.21,113.94,90.80,102.31,110.69,85.46,95.49,109.07,93.92,124.43,106.96,103.19,100.73,104.34
19/10/2023,110.91,111.84,110.94,,110.36,110.41,111.80,125.26,125.29,127.08,125.25,121.16,120.93,122.13,122.05,115.88,122.03,124.99,130.41,133.92,134.05,116.21,106.25,101.04,97.29,97.29,134.05,111.01,118.19,123.61,120.52,130.84,105.20,118.23,124.99,111.04,114.60,122.06,111.47,125.72,121.57,123.33,114.79,120.70
