# 30/12/2023 10:07:00 AM: Prices - EPEX Spot Market Auction - switzerland - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
31/12/2023,23.13,17.20,12.74,,9.51,8.66,9.55,8.49,9.27,10.68,14.28,11.43,9.59,12.38,10.05,12.81,20.80,21.73,29.27,31.73,23.40,20.65,9.58,16.78,9.51,8.49,31.73,15.65,8.99,11.50,14.01,26.53,14.13,15.13,17.35,13.47,12.32,12.75,12.92,10.68,10.86,21.15,18.61,12.84
30/12/2023,22.93,16.57,21.03,,15.03,12.42,17.64,21.04,27.00,30.03,33.73,30.18,26.32,27.05,23.61,29.48,43.97,59.99,76.70,72.71,60.71,48.41,41.34,40.93,34.37,12.42,76.70,18.89,19.53,30.07,31.03,67.53,41.26,34.72,42.87,17.60,19.21,30.55,26.56,27.95,26.79,52.54,49.75,30.10
29/12/2023,21.35,9.59,9.54,,9.52,4.01,10.63,20.41,25.79,24.95,22.07,22.05,17.32,14.30,14.35,18.63,27.51,31.00,35.06,35.45,33.34,22.75,17.27,21.09,12.94,4.01,35.45,12.50,15.21,21.60,18.70,33.71,18.51,20.04,24.67,10.77,13.86,20.15,15.41,23.31,17.01,28.05,23.81,19.03
28/12/2023,38.01,42.88,41.10,,41.04,40.59,42.43,49.98,52.92,50.75,50.37,53.48,56.01,60.91,58.24,62.01,65.55,64.98,67.21,65.00,63.56,66.82,65.58,67.29,55.48,38.01,67.29,40.76,46.48,52.65,61.68,65.19,63.79,55.09,59.84,41.01,43.62,57.17,50.34,51.01,57.16,64.94,63.96,59.37
27/12/2023,54.60,50.96,51.01,,44.25,45.05,50.97,58.49,77.99,79.61,78.56,74.74,68.96,67.00,65.44,66.82,70.15,73.02,77.60,72.59,67.38,53.97,43.89,41.55,28.30,28.30,79.61,50.21,58.13,75.47,67.35,72.65,41.93,60.95,71.82,49.47,54.17,71.41,50.09,73.66,69.04,71.90,51.28,68.85
26/12/2023,8.22,7.77,5.31,,3.27,4.10,5.76,5.14,9.19,12.30,19.36,16.43,20.20,17.04,17.34,19.92,25.56,40.61,48.35,47.26,43.03,39.36,37.09,42.22,37.83,3.27,48.35,6.14,6.05,17.07,19.97,44.81,39.13,22.19,27.28,5.74,6.10,18.52,17.11,11.50,17.75,33.61,41.13,19.42
25/12/2023,9.53,5.09,-0.31,,-5.03,-10.36,-6.13,3.00,3.17,5.84,9.52,7.14,6.75,4.68,3.86,4.21,7.13,9.52,9.91,13.63,12.10,11.70,11.57,10.20,9.60,-10.36,13.63,2.32,-2.58,7.31,4.97,11.29,10.77,5.68,7.86,-1.20,-0.13,6.14,3.50,5.38,5.61,7.69,11.47,5.63
24/12/2023,5.09,-1.39,1.70,,4.01,0.24,-0.21,3.46,13.22,10.51,9.60,9.56,4.04,9.53,4.80,9.57,10.50,21.29,9.60,12.89,8.88,5.48,5.02,2.70,-4.17,-4.17,21.29,2.35,4.18,8.43,8.60,13.17,2.26,6.50,10.06,1.57,3.27,8.51,2.93,9.20,6.98,12.74,5.13,8.00
23/12/2023,47.95,42.19,9.58,,9.50,-1.42,9.51,9.52,50.78,45.25,47.62,44.14,36.58,42.11,34.08,45.21,50.16,57.52,64.16,63.56,59.96,54.07,50.53,51.53,47.63,-1.42,64.16,27.31,17.10,43.40,42.89,61.30,50.94,40.49,49.20,19.55,22.20,43.14,31.78,38.29,39.23,54.26,54.55,42.05
22/12/2023,58.83,56.77,49.50,,46.02,45.21,57.10,82.39,80.07,80.06,80.61,82.92,83.38,80.03,79.89,80.02,80.03,81.68,83.07,82.87,78.97,79.96,78.95,77.02,65.37,45.21,83.38,52.78,66.19,81.74,79.99,81.65,75.33,72.95,81.13,52.24,59.49,80.87,64.77,80.78,81.56,81.20,77.19,81.05
21/12/2023,73.95,71.86,71.03,,73.98,69.94,77.91,82.93,91.75,90.08,86.99,89.83,93.37,90.77,91.10,89.95,89.39,90.41,92.01,89.84,87.02,87.02,84.96,78.08,70.20,69.94,93.37,72.71,80.63,90.07,90.30,89.82,80.07,83.93,90.06,73.11,76.67,90.19,77.80,87.94,91.27,90.44,82.85,90.74
20/12/2023,74.99,76.17,74.43,,77.27,76.98,79.89,84.39,93.05,93.97,86.75,93.22,94.96,93.94,94.97,94.91,94.02,94.01,90.05,88.72,86.16,86.03,87.04,92.28,82.30,74.43,94.97,75.72,83.58,92.23,94.46,89.74,86.91,87.10,92.14,76.62,79.65,93.34,82.07,89.54,94.27,93.25,87.09,94.34
19/12/2023,73.17,72.95,78.82,,73.19,72.28,72.24,87.52,97.62,102.44,98.46,90.64,89.64,89.78,90.02,89.52,92.45,94.01,98.08,97.93,93.26,88.83,86.05,87.10,72.48,72.24,102.44,74.53,82.42,95.30,90.44,95.82,83.62,87.02,93.85,73.78,78.47,92.87,80.19,96.51,90.02,93.52,87.61,90.34
18/12/2023,64.35,54.60,48.87,,47.56,49.32,68.44,83.26,100.04,104.95,104.19,95.01,92.42,90.36,88.89,91.36,94.24,97.29,103.29,103.58,101.69,90.48,85.21,80.07,76.25,47.56,104.95,53.85,75.27,99.14,91.21,101.46,83.00,83.99,97.27,55.52,64.56,95.18,70.70,98.11,91.67,96.55,89.55,92.05
17/12/2023,70.75,48.68,54.41,,33.02,28.02,32.99,60.02,70.58,70.97,69.92,70.28,60.12,54.26,49.67,57.66,70.74,77.17,90.63,101.52,98.63,94.21,84.48,83.92,73.38,28.02,101.52,51.72,47.90,67.82,58.08,91.99,84.00,66.92,72.63,44.65,49.81,62.95,61.21,67.87,58.58,74.05,89.36,60.46
16/12/2023,73.36,70.95,69.68,,69.38,70.76,70.30,71.49,78.12,85.55,86.48,83.87,78.07,75.82,73.40,75.47,76.86,84.57,89.32,91.87,89.95,87.95,80.22,76.38,71.04,69.38,91.87,70.84,72.67,83.49,75.39,88.93,78.90,78.37,82.60,70.74,71.76,79.44,74.14,80.41,77.79,81.56,82.90,77.25
