MTU (CET/CEST),Area,Resolution,Price,Currency
              03/01/2022 13:00 - 03/01/2022 14:00,BZN|CH,PT60M,191.96,EUR
              03/01/2022 14:00 - 03/01/2022 15:00,BZN|CH,PT60M,204.10,EUR
              03/01/2022 15:00 - 03/01/2022 16:00,BZN|CH,PT60M,207.37,EUR
              03/01/2022 16:00 - 03/01/2022 17:00,BZN|CH,PT60M,224.46,EUR
              03/01/2022 17:00 - 03/01/2022 18:00,BZN|CH,PT60M,220.21,EUR
              03/01/2022 18:00 - 03/01/2022 19:00,BZN|CH,PT60M,214.11,EUR
              03/01/2022 19:00 - 03/01/2022 20:00,BZN|CH,PT60M,204.11,EUR
              03/01/2022 20:00 - 03/01/2022 21:00,BZN|CH,PT60M,201.10,EUR
              03/01/2022 21:00 - 03/01/2022 22:00,BZN|CH,PT60M,196.13,EUR
              03/01/2022 22:00 - 03/01/2022 23:00,BZN|CH,PT60M,165.78,EUR
              03/01/2022 23:00 - 04/01/2022 00:00,BZN|CH,PT60M,146.55,EUR
              04/01/2022 00:00 - 04/01/2022 01:00,BZN|CH,PT60M,127.03,EUR
              04/01/2022 01:00 - 04/01/2022 02:00,BZN|CH,PT60M,111.97,EUR
              04/01/2022 02:00 - 04/01/2022 03:00,BZN|CH,PT60M,101.04,EUR
              04/01/2022 03:00 - 04/01/2022 04:00,BZN|CH,PT60M,97.75,EUR
              04/01/2022 04:00 - 04/01/2022 05:00,BZN|CH,PT60M,100.79,EUR
              04/01/2022 05:00 - 04/01/2022 06:00,BZN|CH,PT60M,122.72,EUR
              04/01/2022 06:00 - 04/01/2022 07:00,BZN|CH,PT60M,160.34,EUR
              04/01/2022 07:00 - 04/01/2022 08:00,BZN|CH,PT60M,197.84,EUR
              04/01/2022 08:00 - 04/01/2022 09:00,BZN|CH,PT60M,210.65,EUR
              04/01/2022 09:00 - 04/01/2022 10:00,BZN|CH,PT60M,212.80,EUR
              04/01/2022 10:00 - 04/01/2022 11:00,BZN|CH,PT60M,207.99,EUR
              04/01/2022 11:00 - 04/01/2022 12:00,BZN|CH,PT60M,204.26,EUR
              04/01/2022 12:00 - 04/01/2022 13:00,BZN|CH,PT60M,191.30,EUR
              04/01/2022 13:00 - 04/01/2022 14:00,BZN|CH,PT60M,189.33,EUR
              04/01/2022 14:00 - 04/01/2022 15:00,BZN|CH,PT60M,193.50,EUR
              04/01/2022 15:00 - 04/01/2022 16:00,BZN|CH,PT60M,199.93,EUR
              04/01/2022 16:00 - 04/01/2022 17:00,BZN|CH,PT60M,206.99,EUR
              04/01/2022 17:00 - 04/01/2022 18:00,BZN|CH,PT60M,201.94,EUR
              04/01/2022 18:00 - 04/01/2022 19:00,BZN|CH,PT60M,205.80,EUR
              04/01/2022 19:00 - 04/01/2022 20:00,BZN|CH,PT60M,205.62,EUR
              04/01/2022 20:00 - 04/01/2022 21:00,BZN|CH,PT60M,191.63,EUR
              04/01/2022 21:00 - 04/01/2022 22:00,BZN|CH,PT60M,169.45,EUR
              04/01/2022 22:00 - 04/01/2022 23:00,BZN|CH,PT60M,152.84,EUR
              04/01/2022 23:00 - 05/01/2022 00:00,BZN|CH,PT60M,135.74,EUR
              05/01/2022 00:00 - 05/01/2022 01:00,BZN|CH,PT60M,141.44,EUR
              05/01/2022 01:00 - 05/01/2022 02:00,BZN|CH,PT60M,117.12,EUR
